,2006 Government transfers Average  $ constant 2007,Implicit transfer rates1 %,Shares %,2007  Average $ constant 2007,Implicit transfer rates1 %,Shares %
"Economic families, two people or more","8,900",10.7,100,"9,000",10.4,100
Lowest quintile,"12,500",47.2,28.1,"12,800",45.7,28.4
Second quintile,"11,000",22.8,24.7,"11,300",22.7,25.1
Third quintile,"9,200",13.2,20.7,"9,200",12.9,20.4
Fourth quintile,"7,000",7.2,15.6,"6,900",6.9,15.4
Highest quintile,"4,800E",2.7E,10.9E,"4,900",2.6,10.8
Unattached individuals,"5,500",15.8,100,"5,700",15.9,100
Lowest quintile,"3,600",49,13.2,"4,300",53.3,15
Second quintile,"9,100",54.3,32.7,"9,600",55.7,33.7
Third quintile,"8,000",31,28.9,"7,300",27.6,25.9
Fourth quintile,"4,300",10.6,15.6,"4,700",11.3,16.5
Highest quintile,"2,700",3.2,9.6,"2,600",3,9
