,2000,2001,2002,2003,2004,2005,2006,2007,2008
- Oil,4 769,4 637,4 649,4 232,4 381,4 176,3 832,3 808,3 209
- Coal,2 488,2 217,2 167,1 958,1 957,1 854,1 672,1 656,1 555
- Natural gas,7 958,8 313,7 753,7 471,7 936,7 243,7 504,7 387,6 946
- Other fossil,162,252,322,381,392,333,281,346,326
- Fossil fuels total,15 376,15 419,14 891,14 041,14 666,13 606,13 289,13 197,12 036
Peat,4 185,4 412,5 006,5 261,4 406,4 061,4 738,5 249,4 807
- Black liquor and other concentrated liquors,23 177,21 259,23 730,23 626,24 659,22 015,26 632,26 571,25 475
- Other wood fuels,10 869,10 562,10 521,10 385,11 009,10 125,11 216,10 615,10 884
- Other renewables,239,284,313,398,416,463,454,470,451
- Renewables total,34 285,32 105,34 564,34 409,36 083,32 603,38 302,37 656,36 810
Other energy sources,3 703,3 668,3 959,4 475,4 710,4 369,5 235,5 682,5 699
