,2005 current dollars,2006 current dollars,2007 current dollars,2008 current dollars,2009 current dollars
All industries excluding unclassified enterprises,737.29,755.48,788.06,810.52,823.53
"Forestry, logging and support",883.89,902.28,907.41,935.84,853.28
Mining and oil and gas extraction,"1,296.35","1,325.73","1,437.44","1,527.98","1,594.04"
Utilities,"1,298.32","1,350.66","1,421.49","1,424.73","1,500.79"
Construction,877.34,900.32,961.16,"1,014.51","1,048.42"
Manufacturing,896.35,904.69,940.67,949.54,917.73
Wholesale trade,865.92,905.24,937.14,956.59,988.89
Retail trade,441.18,449.86,458.8,475.17,486.7
Transportation and warehousing,828.07,834.4,864.51,883.28,874.69
Information and cultural industries,952.3,955.52,"1,003.44","1,003.54","1,077.16"
Finance and insurance,921.01,951.17,998.93,"1,002.03","1,036.81"
Real estate and rental and leasing,698.06,710.73,756.11,772.87,771.83
"Professional, scientific and technical services",989.94,"1,016.41","1,060.36","1,093.67","1,129.10"
Management of companies and enterprises,"1,005.19","1,050.28","1,086.16","1,087.91","1,144.86"
"Administrative and support, waste management and remediation services",583.67,600.98,648.97,673.05,671.44
Educational services,779.6,808.15,834.62,862.64,877.75
Health care and social assistance,667.4,687.72,705.55,743.94,770.4
"Arts, entertainment and recreation",439.16,445.08,468.77,503.66,514.43
Accommodation and food services,288.45,299.73,318.4,331.11,334.81
Public administration,925.45,951.03,"1,007.53","1,040.51","1,071.16"
Other services,605.4,622.43,652.13,669.67,686.91
