,2006 St. John's (N.L.) number,Halifax (N.S.) number,Moncton (N.B.) number,Saint John (N.B.) number
Total households,"70,665","155,135","51,590","49,105"
Total persons in households,"178,710","368,005","123,720","120,185"
Average number of persons in household,2.5,2.4,2.4,2.4
Single-detached house,"38,360","80,000","30,560","29,320"
  Total persons in households,"107,845","221,255","82,460","80,520"
  Average number of persons in household,2.8,2.8,2.7,2.7
"Apartment, five or more storeys",595,"14,785","1,360","1,720"
  Total persons in households,770,"23,600","1,720","2,485"
  Average number of persons in household,1.3,1.6,1.3,1.4
Movable dwelling,295,"3,525","2,620","1,450"
  Total persons in households,705,"7,855","5,930","3,345"
  Average number of persons in household,2.4,2.2,2.3,2.3
Other dwelling,"31,410","56,825","17,055","16,615"
  Total persons in households,"69,390","115,295","33,615","33,835"
  Average number of persons in household,2.2,2,2,2
