,2003 $ millions,2004 $ millions,2005 $ millions,2006 $ millions,2007 $ millions
Cash on hand and on deposit,"36,751","40,965","42,800","43,827","48,968"
Receivables,"34,771","38,814","42,958","45,085","51,422"
Advances,"106,209","104,195","104,614","108,278","116,510"
Securities,"155,435","166,064","189,730","205,104","228,059"
Other financial assets,"8,461","8,796","8,915","8,081","8,353"
Liabilities,"1,136,142","1,152,148","1,180,178","1,184,796","1,211,906"
Bank overdrafts,"7,937","7,226","7,719","8,444","8,575"
Payables,"68,430","70,832","80,578","86,035","93,173"
Advances,"12,512","15,672","17,070","16,524","17,163"
Treasury bills,"107,902","112,392","126,216","132,419","136,113"
Savings bonds,"35,021","34,425","29,280","25,327","20,915"
Bonds and debentures,"547,204","527,578","505,053","477,635","468,056"
Other securities,"61,690","77,991","97,358","111,377","125,956"
Deposits,"57,195","61,985","61,965","68,457","72,596"
Other liabilities,"40,833","42,920","47,867","48,826","53,037"
