,2005 (1997=100),2006 (1997=100),2007 (1997=100),2008 (1997=100),2009 (1997=100)
Raw materials price index,145.3,161.7,174.1,196.3,152.2
Vegetable products,80.3,84.8,102.4,129.7,110.2
  Fresh fruits,98.4,96.8,97.6,102,106
  Grains,77.4,82.9,113.9,150.9,110.6
  Oilseeds,73.9,70.8,99.1,136.8,114.1
  Fresh vegetables,110.1,114.4,103.7,108.3,120.3
  Raw Tobacco,80.6,81.9,77.7,81.1,85.8
  Unrefined sugar,66,78.6,61.9,70.5,89.3
  Natural rubber and allied gums,133.3,173.2,176.8,199.6,158.8
"  Cocoa, coffee and tea",75.1,80.2,90.9,107.1,101.4
  Hay and forage,82.7,75.1,75.2,87,110.6
