,Total. NOK million,Central government,Local government,Social security fund,Privat sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total current expenditure on health (Sum HP.1-9 and subsidies), 175 371,41.3,28.4,13.5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.1.1 General hospitals,51 767,96.7,0.0,0.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.1.2 Mental health and substance abuse hospitals,13 591,98.8,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.1.3 Speciality hospitals,1 568,97.5,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.2.1 Nursing care facilities,30 446,3.2,81.4,0.3,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.1 Offices of physicians,14 689,1.5,35.8,40.9,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.2 Offices of dentists,9 246,0.0,14.8,8.3,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.3 Offices of other health practitioners,3 089,0.0,0.0,51.3,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.4 Out-patient care centres,1 739,4.6,91.6,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.5 Medical and diagnostic laboratories,1 324,46.4,0.0,32.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.6 Providers of home health care services,16 998,0.0,97.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.3.9 Other providers of ambulatory health care services, 807, 100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.4 Retail sale and other providers of medical goods,23 766,0.0,0.0,58.6,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.5 Provision and administration of public health programmes,2 871,84.6,13.7,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.7.9 All other industries as secondary produsers of health care,3 274,67.4,0.0,23.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP.9 Rest of the world, 196,69.4,0.0,30.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
