Industries,Fuels TJ,"confidence interval, ± %",Electricity TJ 1),"confidence interval, ± %",Heat TJ1),"confidence interval, ± %",Total TJ,"confidence interval, ± %"
05 Mining of coal and lignite,.,.,.,.,.,.,.,.
06 Extraction of crude petroleum and natural gas,.,.,.,.,.,.,.,.
07 Mining of metal ores,"521,7","58,5","1 051,8","37,8","48,9","5,6","1 622,4","0,0"
08 Other mining and quarrying,"3 064,7","70,6","831,0","8,5","226,1","12,0","4 121,8","51,7"
09 Mining support service activities,.,.,"0,1*","138,6",.,.,"0,1*","138,6"
10 Manufacture of food products,"3 454,8","20,0","4 395,4","21,3","4 186,4","57,8","12 036,6","20,8"
11 Manufacture of beverages,"675,5","11,1","618,8","21,3","876,1","16,6","2 170,3","9,6"
12 Manufacture of tobacco products,.,.,.,.,.,.,.,.
13 Manufacture of textiles,"619,0","61,7","573,3","37,2","367,6","10,5","1 559,8","26,0"
14 Manufacture of wearing apparel,"36,6","50,6","119,5","63,9","66,8*","98,1","222,9","41,6"
15 Manufacture of leather and related products,"33,8","77,8","59,4","67,1","34,8","72,7","128,0","20,6"
"16 Manufacture of wood and of products of wood and cork,","8 524,6","18,8","5 977,5","10,0","11 607,6","13,8","26 109,7","7,5"
except furniture; manufacture of articles of straw and plaiting materials,,,,,,,,
17 Manufacture of paper and paper products,"216 163,3","0,5","57 654,8","1,0","18 995,0","4,0","292 813,1","0,5"
18 Printing and reproduction of recorded media,"197,8","19,3","862,5","32,0","278,8","54,5","1 339,1","21,3"
19 Manufacture of coke and refined petroleum products,"45 582,5","0,0","4 556,1","0,6","1 234,4","3,2","51 373,0","0,1"
20 Manufacture of chemicals and chemical products,"20 290,8","0,8","15 573,9","3,6","11 209,6","3,9","47 074,3","1,1"
21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,"71,0","18,5","271,1","13,8","354,2","9,6","696,3","7,5"
22 Manufacture of rubber and plastic products,"851,3","33,3","2 566,9","15,2","1 829,6","54,1","5 247,8","17,9"
23 Manufacture of other non-metallic mineral products,"13 257,6","4,3","3 739,1","10,2","661,1","53,0","17 657,7","2,7"
24 Manufacture of basic metals,"68 054,4","0,2","17 061,6","2,0","2 632,5","8,2","87 748,5","0,5"
"25 Manufacture of fabricated metal products, except machinery and equipment","1 286,2","26,9","3 754,2","15,6","1 214,2","27,2","6 254,6","9,7"
"26 Manufacture of computer, electronic and optical products","25,3","70,9","2 025,0","26,5","733,7","36,4","2 784,0","20,8"
27 Manufacture of electrical equipment,"86,3","59,0","814,5","24,8","333,9","29,8","1 234,7","17,5"
28 Manufacture of machinery and equipment n.e.c.,"849,4","22,9","3 062,0","17,0","1 454,9","16,9","5 366,3","8,8"
"29 Manufacture of motor vehicles, trailers and semi-trailers","328,0","26,4","501,5","37,0","262,8","73,1","1 092,4","22,4"
30 Manufacture of other transport equipment,"454,8","26,7","862,6","12,1","579,0","9,4","1 896,5","7,9"
31 Manufacture of furniture,"496,2","73,5","928,9","66,4","282,7","62,5","1 707,7","39,9"
32 Other manufacturing,"70,1*","89,3","147,6*","80,9","22,5*","82,9","240,2","54,8"
33 Repair and installation of machinery and equipment,"114,0","31,9","565,3","65,7","156,5","35,4","835,9","43,5"
