,1990.0,1995,1996.0,1997,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Energy industries,0.4,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.0,0.8,1.1,1.1,1.0
Manufacturing and construction,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
Transport,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Industrial processes,5.3,4.7,4.7,4.7,4.4,4.3,4.4,4.2,4.3,4.5,4.8,5.2,4.6,4.8,5.0
Solvents and other product use,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Manure management,1.6,1.4,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4
Agricultural soils,12.8,11.7,11.7,11.4,11.2,10.9,11.2,11.2,11.2,11.2,11.1,11.1,11.1,11.1,11.5
Waste,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Heating of buildings, other fuel use in agriculture, forestry and fisheries",0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Fugitive emissions from fuels 1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other fuel use,1.4,1.2,1.2,1.2,1.1,1.1,1.0,1.0,1.0,1.1,1.0,0.9,1.0,0.9,0.8
"Land use, land-use change and forestry (LULUCF)",0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
