County of residence,Total,School in municipality of residence,School in county of residence,School outside county of residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I alt,6 169, 174, 475,5 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Østfold, 275,12,16, 247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akershus, 594,4,30, 560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oslo, 362,3,-, 359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedmark, 255,20,25, 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppland, 211,9,14, 188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buskerud, 321,11,30, 280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vestfold, 321,7,5, 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telemark, 224,-,5, 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aust-Agder, 201,9,20, 172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest-Agder, 229,7,4, 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogaland, 502,7,41, 454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordaland, 648,32, 103, 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sogn og Fjordane, 214,7,14, 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Møre og Romsdal, 379,14,40, 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag, 371,9,44, 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-Trøndelag, 250,6,17, 227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordland, 258,4,25, 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troms Romsa, 166,7,29, 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnmark Finnmárku, 105,6,13,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown/foreign countries, 283,-,-, 283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
