"Mean, €",Disposable income - Euro 0-11999,12000 -19999,20000 -29999,30000 -49999,50000 -59999,60000 -79999,80000 -99999,100000 -,All households
Number of households interviewed,669,1 225,1 731,3 248,1 213,1 397,509,480,10 472
"Number of households in population, 1000","233,9","490,4","514,6","711,1","216,8","198,3","59,0","59,3","2 483,5"
Average size of households,"1,05","1,22","1,74","2,52","3,08","3,25","3,30","3,05","2,10"
Average number of adults,"1,02","1,13","1,50","1,93","2,15","2,31","2,38","2,18","1,66"
Average number of children,"0,03","0,09","0,24","0,59","0,93","0,95","0,92","0,87","0,44"
Average number of consumption units,"1,02","1,10","1,33","1,67","1,90","1,99","2,03","1,91","1,48"
Average number of economically active household members,"0,10","0,31","0,64","1,19","1,68","1,83","1,84","1,66","0,92"
1. Wages and salaries,1 708,5 496,15 299,31 095,51 804,66 825,78 652,91 916,27 244
2. Entrepreneurial income,139,319,827,2 204,4 127,6 574,12 390,24 357,2 640
3. Income from property,524,1 947,2 956,4 789,7 296,10 883,21 400,110 724,7 078
4. Factor income (1+2+3),2 371,7 762,19 082,38 088,63 227,84 283,112 442,226 997,36 962
5. Current transfers received,7 829,10 789,11 453,12 514,9 505,9 361,11 597,10 426,10 926
6. Gross income (4+5),10 200,18 551,30 535,50 602,72 732,93 644,124 039,237 422,47 888
7. Current transfers paid,804,2 642,5 837,11 200,18 147,25 565,35 890,67 375,11 102
8. Disposable income (6–7),9 398,15 909,24 698,39 402,54 585,68 079,88 149,170 048,36 786
Disposable cash income,8 958,14 294,22 446,36 287,50 541,62 613,80 752,161 545,33 899
Cash income,9 762,16 935,28 283,47 488,68 688,88 178,116 642,228 920,45 001
Income subject to state taxation,7 276,15 131,26 718,45 444,66 123,84 495,109 382,201 120,42 146
