Regional Council,Dwelling Owned or Partly Owned by Usual Resident(s),Dwelling Held in a Family Trust by Usual Resident(s),Dwelling Not Owned by Usual Resident(s),Not Elsewhere Included(1),Total
Northland Region,"28,359","5,928","15,696","4,470","54,453"
Auckland Region,"204,288","52,728","145,857","30,777","433,647"
Waikato Region,"69,315","15,132","44,616","9,273","138,336"
Bay of Plenty Region,"47,031","12,603","28,977","6,165","94,773"
Gisborne Region,"7,539","1,362","5,502","1,080","15,486"
Hawke's Bay Region,"27,975","6,807","16,458","3,375","54,621"
Taranaki Region,"21,090","5,010","11,262","2,538","39,897"
Manawatu-Wanganui Region,"43,716","9,183","26,289","4,830","84,015"
Wellington Region,"87,123","17,382","53,583","8,883","166,974"
West Coast Region,"7,176",867,"3,558",855,"12,462"
Canterbury Region,"113,919","20,073","56,409","9,528","199,932"
Otago Region,"37,665","10,599","21,633","3,975","73,875"
Southland Region,"20,088","4,440","8,862","1,929","35,319"
Tasman Region,"10,002","2,085","3,864",846,"16,803"
Nelson Region,"9,279","1,806","5,070",762,"16,920"
Marlborough Region,"9,276","1,893","4,230","1,035","16,437"
Area Outside Region,105,24,96,18,246
