,St. John's number,Halifax number,Moncton number,Saint John number,Saguenay number
  South Asian,890,"2,900",350,485,45
  Chinese,990,"3,100",295,975,295
  Black,620,"13,270","1,035","1,250",330
  Filipino,155,530,100,205,50
  Latin American,320,690,95,210,280
  Arab,190,"3,840",165,125,195
  Southeast Asian,55,655,65,60,55
  West Asian,65,670,70,270,0
  Korean,45,620,65,120,15
  Japanese,65,410,10,10,0
"  Visible minority, not included elsewhere",40,180,10,30,10
  Multiple visible minority,25,780,175,60,10
