,2005 millions of chained dollars (2002),2006 millions of chained dollars (2002),2007 millions of chained dollars (2002),2008 millions of chained dollars (2002),2009 millions of chained dollars (2002)
All industries,"1,158,680","1,191,250","1,222,697","1,230,365","1,194,201"
Construction,"66,725","69,693","72,414","74,452","69,493"
  Residential building construction,"22,440","22,662","23,387","23,487","21,157"
  Non-residential building construction,"10,444","10,802","10,792","10,934","11,067"
Manufacturing,"187,901","184,616","182,297","171,906","151,000"
  Food manufacturing,"17,870","17,768","17,942","18,219","18,685"
  Beverage and tobacco product manufacturing,"5,623","5,266","4,989","4,905","4,897"
  Textile and textile product mills,"2,233","1,944","1,842","1,620","1,293"
    Textile mills,"1,198","1,009",882,764,645
    Textile product mills,"1,033",932,954,851,645
  Clothing manufacturing,"2,556","2,350","2,138","1,572","1,293"
  Leather and allied product manufacturing,204,183,192,171,155
  Wood product manufacturing,"13,694","13,512","12,129","10,209","8,613"
  Paper manufacturing,"12,115","11,084","10,480","9,653","8,279"
  Printing and related support activities,"6,285","6,088","5,648","5,444","4,781"
  Petroleum and coal products manufacturing,"3,332","3,179","3,196","3,092","3,041"
  Chemical manufacturing,"15,065","15,222","15,414","14,994","13,813"
  Plastics and rubber products manufacturing,"10,268","9,540","9,082","7,919","6,493"
  Non-metallic mineral product manufacturing,"5,820","5,848","5,894","5,618","4,662"
  Primary and fabricated metal products manufacturing,"25,836","25,922","26,256","25,171","20,001"
    Primary metal manufacturing,"12,095","11,957","11,794","11,840","8,959"
    Fabricated metal product manufacturing,"13,746","13,984","14,530","13,314","11,098"
  Machinery manufacturing,"12,946","13,310","13,359","13,079","10,772"
  Computer and electronic product manufacturing,"6,771","6,717","7,100","7,148","6,608"
"  Electrical equipment, appliance and component manufacturing","3,407","3,224","3,233","3,200","2,900"
  Transportation equipment manufacturing,"35,079","35,140","34,540","30,134","24,692"
  Furniture and related product manufacturing,"5,421","5,088","5,021","4,551","3,939"
  Miscellaneous manufacturing,"3,839","3,939","4,115","4,177","4,295"
Special aggregation,,,,,
"Information and communication technologies, manufacturing","7,690","7,644","8,251","8,370","7,738"
