,All industries excluding unclassified enterprises (hours) 2005,All industries excluding unclassified enterprises (hours) 2006,All industries excluding unclassified enterprises (hours) 2007,All industries excluding unclassified enterprises (hours) 2008,All industries excluding unclassified enterprises (hours) 2009
Canada,30.9,30.9,30.5,30.4,30.1
Newfoundland and Labrador,30,30.1,29.9,30.4,31.8
Prince Edward Island,29,29.1,28.8,29.1,29.6
Nova Scotia,29.5,30.2,29.8,30.1,30.6
New Brunswick,30.6,30.8,30.6,30.6,31.6
Quebec,30.7,30.7,30.2,30,30
Ontario,31.4,31.3,30.9,30.8,30.3
Manitoba,29.9,30.2,30,29.9,29.9
Saskatchewan,29.6,29.8,29.4,29.5,29.3
Alberta,31.2,31.3,31.1,31.1,30.8
British Columbia,30,30.1,29.7,29.6,28.8
Yukon,29.7,29.6,28.8,28.2,29.1
Northwest Territories,33.5,33.8,33.8,33.1,32.3
Nunavut,31.1,31.5,32,32.2,29.9
