Age of the oldest person,Tenure status Household-dwelling units total,Owner occupied dwelling,Rented dwelling,Other or unknown
15 - 19 years,20 826,941,18 624,1 261
20 - 24 years,136 196,20 153,110 351,5 692
25 - 29 years,180 139,66 579,106 129,7 431
30 - 34 years,183 968,106 756,69 586,7 626
35 - 39 years,173 213,113 902,52 554,6 757
40 - 44 years,210 771,143 155,58 779,8 837
45 - 49 years,226 367,157 109,59 885,9 373
50 - 54 years,230 906,163 628,57 931,9 347
55 - 59 years,244 027,177 494,56 535,9 998
60 - 64 years,245 815,187 804,48 736,9 275
65 - 69 years,171 013,134 859,30 397,5 757
70 - 74 years,153 478,121 825,27 031,4 622
75 - 79 years,135 363,106 733,24 710,3 920
80 - 84 years,107 183,81 385,22 316,3 482
85 - years,80 067,56 409,20 635,3 023
