Tier,Industry,2010,2011
Tier 2,"Agriculture, Forestry and Fishing",32,2
Tier 2,Mining and Quarrying,244,232
Tier 2,Manufacturing,689,751
Tier 2,"Electricity, gas, steam and air conditioning supply",93,62
Tier 2,"Water Supply; Sewerage, Waste Management etc.",19,17
Tier 2,Construction of buildings,213,163
Tier 2,Wholesale and Retail Trade; Vehicle Repairs,314,393
Tier 2,Transportation and Storage,105,73
Tier 2,Accommodation and Food Service Activities,"1,816","1,426"
Tier 2,Information and Communication,"3,983","4,214"
Tier 2,Financial and Insurance Activities,"1,467","1,633"
Tier 2,Real estate activities,24,20
Tier 2,"Professional, Scientific and Technical Activities","2,214","2,363"
Tier 2,Administrative and Support Activities,251,251
Tier 2,Public administration and defence; compulsory social security,308,200
Tier 2,Education,"2,463","2,127"
Tier 2,Human Health and Social Work Activities,"5,636","3,233"
Tier 2,"Arts, Entertainment and Recreation",356,279
Tier 2,Other Service Activities,384,291
Tier 2,Activities of households as employers etc.,4,6
Tier 2,Activities of extraterritorial organisations and bodies,7,9
Tier 5,"Agriculture, Forestry and Fishing",0,0
Tier 5,Mining and Quarrying,0,0
Tier 5,Manufacturing,0,0
Tier 5,"Electricity, gas, steam and air conditioning supply",0,0
Tier 5,"Water Supply; Sewerage, Waste Management etc.",0,0
Tier 5,Construction of buildings,0,0
Tier 5,Wholesale and Retail Trade; Vehicle Repairs,1,1
Tier 5,Transportation and Storage,0,0
Tier 5,Accommodation and Food Service Activities,2,1
Tier 5,Information and Communication,2,5
Tier 5,Financial and Insurance Activities,0,1
Tier 5,Real estate activities,0,0
Tier 5,"Professional, Scientific and Technical Activities",12,16
Tier 5,Administrative and Support Activities,11,27
Tier 5,Public administration and defence; compulsory social security,2,1
Tier 5,Education,82,66
Tier 5,Human Health and Social Work Activities,14,8
Tier 5,"Arts, Entertainment and Recreation",110,93
Tier 5,Other Service Activities,60,60
Tier 5,Activities of households as employers etc.,0,2
