,Total,Fieldwork Month Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Quarter Q1,Q2,Q3,Intervention Type Telephone,Face To Face (F2fF),Service Type Telephone Advice,Telephone Information,F2F Advice,Age Under 19,20-24,25-49,50 or over,Prime Contractor Next Step,EM,E of E,London,NE,NW Econ Sol,NW GMCP Mersey,NW GMCP Cumbria,SE,SW CSW,SW Tribal,WM,Y & H,Gender Male,Female,Employment status Work,Learning,Unemployed,Other,Prior quals <L2,L2+,Ethnicity White British,Non-White British,Disability Yes,No,Fieldwork Month Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,NEET 18-24 JSA,18-24 JSA/IB/IS,18-24 NEET,Longit Yes
Unweighted row,1525,511,115,122,131,227,221,198,511,368,646,726,799,217,509,799,92,353,904,176,727,95,60,74,40,52,43,40,100,70,57,90,77,504,602,497,177,710,135,266,998,887,638,194,1101,511,115,122,131,227,221,198,102,128,202,227
NVQ level 2,230,*99,22,23,12,*21,*22,31,*99,57,*75,*38,*192,11,*27,*192,12,*37,145,36,*38,24,14,14,11,11,9,6,27,20,10,22,23,80,96,*44,19,*145,20,51,138,141,89,34,162,*99,22,23,12,*21,*22,31,15,23,34,34
,16%,20%,22%,21%,10%,10%,11%,17%,20%,17%,12%,9%,19%,16%,8%,19%,13%,12%,17%,19%,9%,20%,18%,15%,23%,17%,16%,13%,21%,23%,14%,19%,23%,16%,17%,11%,13%,19%,17%,18%,16%,17%,15%,18%,16%,20%,22%,21%,10%,10%,11%,17%,13%,17%,16%,15%
"Post-graduate degree or doctorate, MBA, NVQ level 5 or equivalent",188,*50,*21,19,*25,25,27,21,*50,*65,73,*157,*31,9,*148,*31,*4,*84,*98,*2,*157,*3,*3,6,4,*-,*1,*1,*-,*1,5,*3,*4,60,80,*105,*36,*40,*6,*3,*162,109,79,*8,*157,*50,*21,19,*25,25,27,21,*7,*7,23,23
,13%,10%,21%,17%,21%,12%,14%,11%,10%,20%,12%,38%,3%,14%,43%,3%,4%,27%,12%,1%,38%,2%,3%,7%,8%,0%,2%,3%,0%,1%,7%,2%,4%,12%,14%,26%,25%,5%,5%,1%,18%,13%,14%,4%,15%,10%,21%,17%,21%,12%,14%,11%,6%,5%,11%,10%
NVQ level 3,122,47,12,13,13,17,*6,15,47,*37,*38,31,92,*9,*21,92,10,*17,*82,13,31,8,4,10,*9,6,6,5,14,8,5,9,8,41,*60,*49,8,*53,11,*15,*99,76,47,22,95,47,12,13,13,17,*6,15,8,9,12,*5
,9%,9%,12%,11%,11%,8%,3%,8%,9%,11%,6%,7%,9%,13%,6%,9%,11%,6%,10%,7%,7%,6%,5%,11%,17%,10%,12%,10%,11%,9%,7%,8%,8%,8%,11%,12%,6%,7%,9%,5%,11%,9%,8%,12%,9%,9%,12%,11%,11%,8%,3%,8%,7%,7%,6%,2%
NVQ level 1,112,*52,5,10,11,*9,14,11,*52,26,*34,*9,*103,3,*6,*103,4,19,69,20,*9,10,*11,10,1,*13,1,3,*18,8,8,14,6,43,44,*13,16,*70,13,*43,*47,60,52,*23,*70,*52,5,10,11,*9,14,11,8,12,12,19
,8%,11%,6%,8%,9%,4%,7%,6%,11%,8%,6%,2%,10%,5%,2%,10%,4%,6%,8%,11%,2%,8%,15%,11%,2%,19%,2%,5%,14%,9%,11%,12%,6%,9%,8%,3%,11%,9%,10%,15%,5%,7%,9%,12%,7%,11%,6%,8%,9%,4%,7%,6%,7%,8%,6%,9%
"A degree, HNC, HND, NVQ level 4 or equivalent",103,*25,7,12,*14,12,19,15,*25,*32,46,*51,*52,*11,*40,*52,*12,26,61,*4,*51,8,1,6,0,3,0,4,6,8,8,5,4,*24,46,37,*23,*32,12,*2,*82,59,44,13,70,*25,7,12,*14,12,19,15,4,5,13,20
,7%,5%,7%,10%,12%,6%,9%,8%,5%,10%,8%,12%,5%,16%,12%,5%,13%,8%,7%,2%,12%,6%,2%,7%,0%,4%,0%,8%,5%,9%,11%,4%,4%,5%,8%,9%,16%,4%,10%,1%,9%,7%,8%,7%,7%,5%,7%,10%,12%,6%,9%,8%,3%,4%,6%,9%
GCSE,95,35,6,10,7,13,17,6,35,23,36,*15,*80,4,*11,*80,4,20,61,10,*15,*14,4,6,1,4,3,6,14,6,5,9,8,29,42,*16,8,57,*13,*31,*41,54,41,*20,*55,35,6,10,7,13,17,6,7,11,18,19
,7%,7%,6%,9%,6%,6%,9%,3%,7%,7%,6%,4%,8%,6%,3%,8%,5%,6%,7%,5%,4%,12%,5%,7%,2%,6%,5%,13%,11%,7%,7%,8%,8%,6%,8%,4%,5%,7%,11%,11%,5%,6%,7%,11%,5%,7%,6%,9%,6%,6%,9%,3%,6%,8%,8%,9%
Diploma/certificate,70,*50,*-,*-,3,*5,10,*3,*50,*3,*17,18,52,4,14,52,7,18,*32,14,18,*11,5,1,0,3,3,3,5,5,1,6,9,*38,*20,18,6,40,6,15,45,47,24,7,55,*50,*-,*-,3,*5,10,*3,*11,*13,15,8
,5%,10%,0%,0%,2%,2%,5%,1%,10%,1%,3%,4%,5%,6%,4%,5%,7%,6%,4%,7%,4%,9%,7%,1%,0%,4%,5%,5%,4%,6%,2%,6%,9%,8%,4%,5%,4%,5%,5%,5%,5%,6%,4%,4%,5%,10%,0%,0%,2%,2%,5%,1%,10%,9%,7%,3%
Part 1 City and Guilds,59,*28,4,4,2,9,9,4,*28,10,22,*5,*55,1,*3,*55,3,*6,34,*17,*5,4,5,3,5,*6,0,0,*11,5,5,8,3,26,20,11,*1,*40,7,*25,*23,*45,*15,10,40,*28,4,4,2,9,9,4,5,5,6,10
,4%,6%,4%,4%,2%,4%,4%,2%,6%,3%,4%,1%,5%,2%,1%,5%,3%,2%,4%,9%,1%,3%,7%,3%,10%,10%,0%,0%,9%,6%,7%,7%,3%,5%,4%,3%,1%,5%,6%,9%,3%,5%,2%,5%,4%,6%,4%,4%,2%,4%,4%,2%,4%,4%,3%,5%
