Month,2015/16,2016/17,Difference,% change 2015/16 to 2016/17,,,,,,,,,,,,,,
August,"3,730","2,900",-830,-22.3%,,,,,,,,,,,,,,
September,"3,460","3,810",350,10.1%,,,,,,,,,,,,,,
October,"2,860","3,140",280,9.8%,,,,,,,,,,,,,,
November,"2,730","2,920",190,7.0%,,,,,,,,,,,,,,
December,"1,790","1,700",-90,-5.0%,,,,,,,,,,,,,,
January,"2,870",,,,,,,,,,,,,,,,,
February,"3,040",,,,,,,,,,,,,,,,,
March,"3,310",,,,,,,,,,,,,,,,,
April,"3,330",,,,,,,,,,,,,,,,,
May,"3,490",,,,,,,,,,,,,,,,,
June,"3,920",,,,,,,,,,,,,,,,,
July,"3,040",,,,,,,,,,,,,,,,,
