Year,Upper Tier Local Authority,"Number of
offenders
in cohort","Number of
re-offenders","Number of
re-offences","Proportion of
offenders who
re-offend (%)","Average
number of
re-offences
per re-offender","Average
number of
re-offences
per offender"
2006,Barking and Dagenham,"1,709",470,"1,303",27.5,2.77,0.76
,Barnet,"2,005",473,"1,335",23.6,2.82,0.67
,Barnsley,"2,343",745,"2,090",31.8,2.81,0.89
,Bath and North East Somerset,"1,004",286,926,28.5,3.24,0.92
,Bedford,"1,168",278,876,23.8,3.15,0.75
,Bexley,"1,372",301,800,21.9,2.66,0.58
,Birmingham,"13,083","3,692","10,792",28.2,2.92,0.82
,Blackburn with Darwen,"1,811",514,"1,550",28.4,3.02,0.86
,Blackpool,"2,105",642,"1,992",30.5,3.10,0.95
,Blaenau Gwent,879,239,664,27,2.78,0.76
,Bolton,"2,972",862,"2,650",29.0,3.07,0.89
,Bournemouth,"1,961",565,"1,897",28.8,3.36,0.97
,Bracknell Forest,680,152,377,22.4,2.48,0.55
,Bradford,"5,351","1,546","4,672",28.9,3.02,0.87
,Brent,"2,916",726,"2,037",24.9,2.81,0.70
,Bridgend,"1,022",276,950,27.0,3.44,0.93
,Brighton and Hove,"2,452",671,"1,953",27.4,2.91,0.80
,"Bristol, City of","4,377","1,353","4,918",30.9,3.63,1.12
,Bromley,"1,873",422,"1,103",22.5,2.61,0.59
,Buckinghamshire,"3,236",753,"1,992",23.3,2.65,0.62
,Bury,"1,518",404,"1,264",26.6,3.13,0.83
,Caerphilly,"1,772",456,"1,382",25.7,3.03,0.78
,Calderdale,"1,676",442,"1,202",26.4,2.72,0.72
,Cambridgeshire,"3,383",897,"2,676",26.5,2.98,0.79
,Camden,"1,859",540,"1,583",29.0,2.93,0.85
,Cardiff,"3,576",962,"3,225",26.9,3.35,0.90
,Carmarthenshire,"1,609",442,"1,243",27.5,2.81,0.77
,Central Bedfordshire,"1,290",238,661,18.4,2.78,0.51
,Ceredigion,619,163,462,26.3,2.83,0.75
,Cheshire East,"2,096",554,"1,712",26.4,3.09,0.82
,Cheshire West and Chester,"2,423",658,"1,943",27.2,2.95,0.80
,City of London,37,11,26,30,2,1
,Conwy,859,219,632,25.5,2.89,0.74
,Cornwall,"3,099",663,"1,871",21.4,2.82,0.60
,Coventry,"3,873","1,069","3,352",27.6,3.14,0.87
,Croydon,"2,868",728,"2,255",25.4,3.10,0.79
,Cumbria,"4,306","1,272","3,864",29.5,3.04,0.90
,Darlington,"1,033",339,"1,211",32.8,3.57,1.17
,Denbighshire,782,196,557,25.1,2.84,0.71
,Derby,"2,333",593,"1,650",25.4,2.78,0.71
,Derbyshire,"5,052","1,165","3,189",23.1,2.74,0.63
,Devon,"3,572",822,"2,491",23.0,3.03,0.70
,Doncaster,"3,424","1,044","3,117",30.5,2.99,0.91
,Dorset,"2,273",602,"1,781",26.5,2.96,0.78
,Dudley,"2,555",700,"2,112",27.4,3.02,0.83
,Durham,"4,690","1,372","3,892",29.3,2.84,0.83
,Ealing,"2,791",686,"1,880",24.6,2.74,0.67
,East Riding of Yorkshire,"1,672",358,930,21.4,2.60,0.56
,East Sussex,"3,573",938,"2,742",26.3,2.92,0.77
,Enfield,"2,066",508,"1,369",24.6,2.69,0.66
,Essex,"8,707","2,013","5,888",23.1,2.92,0.68
,Flintshire,"1,063",232,631,21.8,2.72,0.59
,Gateshead,"2,405",803,"2,592",33.4,3.23,1.08
,Gloucestershire,"4,178",990,"3,122",23.7,3.15,0.75
,Greenwich,"2,288",649,"1,937",28.4,2.98,0.85
,Gwynedd,855,191,542,22.3,2.84,0.63
,Hackney,"2,739",822,"2,368",30.0,2.88,0.86
,Halton,"1,089",263,780,24.2,2.97,0.72
,Hammersmith and Fulham,"1,695",465,"1,438",27.4,3.09,0.85
,Hampshire,"7,254","1,613","4,696",22.2,2.91,0.65
,Haringey,"2,798",729,"2,026",26.1,2.78,0.72
,Harrow,"1,200",243,658,20.3,2.71,0.55
,Hartlepool,"1,233",454,"1,576",36.8,3.47,1.28
